,type,price,index,position,capital
138,BUY,589.27001953125,2026-03-23 18:17:00+00:00,187.29281231080174,
139,SELL,589.5399780273438,2026-03-23 18:18:00+00:00,,110416.60045438947
140,BUY,589.4000244140625,2026-03-23 18:20:00+00:00,187.33728517259124,
141,SELL,589.5999755859375,2026-03-23 18:21:00+00:00,,110454.05876409561
142,BUY,589.4099731445312,2026-03-23 18:23:00+00:00,187.3976752969037,
143,SELL,589.52001953125,2026-03-23 18:27:00+00:00,,110474.68120114152
144,BUY,589.3300170898438,2026-03-23 18:29:00+00:00,187.45809308454005,
145,SELL,590.9550170898438,2026-03-23 18:59:00+00:00,,110779.30060240389
146,BUY,590.6699829101562,2026-03-23 19:06:00+00:00,187.54855301196838,
147,SELL,590.8900146484375,2026-03-23 19:09:00+00:00,,110820.56723653525
148,BUY,589.9500122070312,2026-03-23 19:37:00+00:00,187.84738527583076,
149,SELL,590.135009765625,2026-03-23 19:41:00+00:00,,110855.3185441995
150,BUY,590.0999755859375,2026-03-23 19:42:00+00:00,187.8585377573116,
151,SELL,590.4099731445312,2026-03-23 19:49:00+00:00,,110913.55423226526
152,BUY,583.1500244140625,2026-03-24 13:56:00+00:00,190.19728987186272,
153,SELL,584.340087890625,2026-03-24 14:04:00+00:00,,111139.90108028294
154,BUY,583.760009765625,2026-03-24 14:05:00+00:00,190.3862875514627,
155,SELL,584.5599975585938,2026-03-24 14:11:00+00:00,,111292.20778627276
156,BUY,583.8201904296875,2026-03-24 14:17:00+00:00,190.6275418538754,
157,SELL,584.1599731445312,2026-03-24 14:21:00+00:00,,111356.97972996788
158,BUY,583.6300048828125,2026-03-24 14:26:00+00:00,190.80064218481593,
159,SELL,584.3300170898438,2026-03-24 14:28:00+00:00,,111490.54250860665
160,BUY,583.760009765625,2026-03-24 14:30:00+00:00,190.98694779275687,
161,SELL,584.1099853515625,2026-03-24 14:35:00+00:00,,111557.38327756684
162,BUY,583.6201171875,2026-03-24 14:39:00+00:00,191.14725485332565,
163,SELL,584.7100219726562,2026-03-24 14:44:00+00:00,,111765.71558530096
164,BUY,583.7999877929688,2026-03-24 14:45:00+00:00,191.44521740712352,
165,SELL,584.8099975585938,2026-03-24 14:48:00+00:00,,111959.07712446435
166,BUY,583.4199829101562,2026-03-24 14:50:00+00:00,191.90134106480457,
167,SELL,585.3499755859375,2026-03-24 14:58:00+00:00,,112329.44530719201
168,BUY,584.52001953125,2026-03-24 14:59:00+00:00,192.1738204916805,
169,SELL,586.77001953125,2026-03-24 15:30:00+00:00,,112761.8364032983
170,BUY,586.6199951171875,2026-03-24 15:35:00+00:00,192.2229677506512,
171,SELL,587.0001220703125,2026-03-24 15:41:00+00:00,,112834.90553435001
172,BUY,586.875,2026-03-24 15:47:00+00:00,192.26394979228968,
173,SELL,587.0996704101562,2026-03-24 15:54:00+00:00,,112878.1015548081
174,BUY,585.6199951171875,2026-03-24 16:14:00+00:00,192.74973958534363,
175,SELL,586.6300048828125,2026-03-24 16:29:00+00:00,,113072.78067411097
176,BUY,586.3599853515625,2026-03-24 16:30:00+00:00,192.8385010895929,
177,SELL,586.64501953125,2026-03-24 16:32:00+00:00,,113127.7462380812
178,BUY,585.4600219726562,2026-03-24 16:43:00+00:00,193.22881493582975,
179,SELL,585.969970703125,2026-03-24 16:47:00+00:00,,113226.28302694771
180,BUY,585.6998901367188,2026-03-24 16:49:00+00:00,193.31791747565043,
181,SELL,585.8800048828125,2026-03-24 16:53:00+00:00,,113261.10243456921
182,BUY,585.47998046875,2026-03-24 16:59:00+00:00,193.45000036361537,
183,SELL,585.6799926757812,2026-03-24 17:01:00+00:00,,113299.79479609213
184,BUY,583.0900268554688,2026-03-24 17:27:00+00:00,194.30926542699365,
185,SELL,583.760009765625,2026-03-24 17:32:00+00:00,,113429.97868321324
186,BUY,583.1099853515625,2026-03-24 17:36:00+00:00,194.52587253299262,
187,SELL,583.530029296875,2026-03-24 17:37:00+00:00,,113511.68809817736
188,BUY,583.280029296875,2026-03-24 17:38:00+00:00,194.60924838282563,
189,SELL,583.47998046875,2026-03-24 17:40:00+00:00,,113550.6004454492
190,BUY,583.0999755859375,2026-03-24 17:51:00+00:00,194.73607477233392,
191,SELL,584.2808227539062,2026-03-24 18:09:00+00:00,,113780.55398784547
192,BUY,584.2000122070312,2026-03-24 18:10:00+00:00,194.763011999944,
193,SELL,584.4249877929688,2026-03-24 18:14:00+00:00,,113824.3709105891
194,BUY,583.97998046875,2026-03-24 18:18:00+00:00,194.91142627736036,
195,SELL,584.5999755859375,2026-03-24 18:21:00+00:00,,113945.21504316512
196,BUY,584.280029296875,2026-03-24 18:23:00+00:00,195.01815795464935,
197,SELL,585.6799926757812,2026-03-24 18:45:00+00:00,,114218.23332252339
